id_bien_immo;code_local;type_local;surf_re;nbre_piece;surf_car;id_com
4512;2;Appartement;77;3;75.47;512
4513;1;Maison;62;3;64.63;513
4514;2;Appartement;63;3;58.64;513
4515;2;Appartement;54;3;57.25;513
4516;2;Appartement;35;2;32.97;522
4517;2;Appartement;110;4;113.44;513
4518;2;Appartement;73;3;73.82;513
4519;2;Appartement;53;3;50.97;519
4520;2;Appartement;15;1;15.58;512
4521;2;Appartement;102;5;102.62;519
4522;1;Maison;113;5;131.02;519
4523;2;Appartement;62;3;62.64;519
4524;2;Appartement;49;2;13.36;512
4525;2;Appartement;42;3;41.66;523
4526;1;Maison;90;5;92.45;519
4527;2;Appartement;68;3;67.81;513
4528;1;Maison;40;2;35.43;524
4529;1;Maison;117;5;117.67;513
4530;1;Maison;101;5;107.8;525
4531;2;Appartement;47;2;46.78;519
4532;1;Maison;28;2;28.35;526
4533;2;Appartement;97;5;98.03;519
4534;2;Appartement;59;3;58.57;512
4535;2;Appartement;57;3;60.66;512
4536;2;Appartement;37;1;33.43;519
4537;2;Appartement;48;2;48.15;512
4538;2;Appartement;119;3;105.43;513
4539;2;Appartement;63;4;63.65;519
4540;2;Appartement;84;4;84.3;513
4541;2;Appartement;62;4;62.36;519
4542;2;Appartement;58;3;52.98;513
4543;2;Appartement;90;4;87.17;513
4544;2;Appartement;40;2;32.55;522
4545;2;Appartement;24;1;23.42;527
4546;2;Appartement;74;4;73.18;513
4547;2;Appartement;24;2;24.07;517
4548;2;Appartement;79;3;69.35;513
4549;2;Appartement;63;3;59.42;513
4550;2;Appartement;36;2;20;515
4551;2;Appartement;80;3;76.39;517
4552;2;Appartement;29;1;26.42;513
4553;2;Appartement;86;4;85.26;528
4554;2;Appartement;21;1;21.9;517
4555;2;Appartement;77;3;70.98;529
4556;2;Appartement;74;4;81;513
4557;1;Maison;150;5;175;513
4558;2;Appartement;20;1;20.4;530
4559;2;Appartement;64;4;62.01;531
4560;2;Appartement;75;3;74.75;515
4561;2;Appartement;67;3;68.69;515
4562;2;Appartement;48;2;49.14;532
4563;2;Appartement;85;4;83.79;513
4564;1;Maison;84;4;107.36;525
4565;2;Appartement;75;4;77.27;519
4566;2;Appartement;62;3;59;519
4567;2;Appartement;54;2;54.84;533
4568;2;Appartement;96;4;95.21;512
4569;2;Appartement;60;3;56.27;528
4570;2;Appartement;80;3;81.79;517
4571;2;Appartement;75;3;75.3;513
4572;1;Maison;28;3;28.35;526
4573;2;Appartement;51;2;52.83;512
4574;2;Appartement;150;4;95.09;534
4575;2;Appartement;158;7;155.08;513
4576;2;Appartement;64;4;64.43;515
4577;2;Appartement;54;1;48.42;515
4578;2;Appartement;40;2;27.72;515
4579;2;Appartement;84;4;84.89;535
4580;2;Appartement;67;4;67.73;516
4581;2;Appartement;88;4;87.33;518
4582;2;Appartement;77;4;66.67;516
4583;2;Appartement;57;3;56.2;513
4584;1;Maison;99;4;123.13;519
4585;2;Appartement;26;2;30.37;515
4586;2;Appartement;61;3;58.08;519
4587;2;Appartement;80;2;94;512
4588;2;Appartement;76;4;73.52;513
4589;2;Appartement;56;3;56.42;512
4590;2;Appartement;74;4;74.43;512
4591;2;Appartement;92;4;90.93;513
4592;2;Appartement;42;1;42.07;519
4593;2;Appartement;20;1;37.7;517
4594;2;Appartement;77;3;76.72;515
4595;2;Appartement;92;5;91.5;512
4596;1;Maison;103;4;105.07;536
4597;2;Appartement;88;4;86.04;519
4598;1;Maison;97;4;100.22;513
4599;2;Appartement;70;3;73;528
4600;2;Appartement;53;3;52.16;515
4601;2;Appartement;81;3;80.42;537
4602;2;Appartement;18;1;17.63;538
4603;2;Appartement;69;3;75.41;513
4604;2;Appartement;32;1;31.63;513
4605;2;Appartement;94;4;80.16;513
4606;2;Appartement;55;3;55.05;532
4607;2;Appartement;84;4;86.52;528
4608;2;Appartement;64;3;59.5;513
4609;2;Appartement;63;4;61.95;513
4610;2;Appartement;68;4;69.21;512
4611;1;Maison;94;5;95.64;539
4612;1;Maison;86;3;86;516
4613;2;Appartement;77;4;73.88;512
4614;2;Appartement;62;3;60.01;515
4615;2;Appartement;68;3;68.11;513
4616;2;Appartement;112;4;112.36;519
4617;2;Appartement;56;3;57.24;513
4618;1;Maison;93;4;95.64;512
4619;2;Appartement;71;4;76.94;528
4620;2;Appartement;105;3;105.5;513
4621;2;Appartement;68;3;68;540
4622;2;Appartement;64;3;59.45;513
4623;2;Appartement;63;3;69.5;541
4624;2;Appartement;76;3;71.94;515
4625;2;Appartement;76;3;75.94;513
4626;2;Appartement;69;4;64.98;519
4627;2;Appartement;100;4;121.94;513
4628;2;Appartement;78;3;78.03;542
4629;2;Appartement;95;3;122.67;512
4630;1;Maison;80;4;124.95;516
4631;2;Appartement;85;3;84.31;515
4632;2;Appartement;28;1;28.85;512
4633;2;Appartement;123;6;112.25;513
4634;2;Appartement;45;2;58.06;535
4635;2;Appartement;56;3;56.54;512
4636;2;Appartement;57;3;62.01;529
4637;2;Appartement;84;3;84.93;512
4638;1;Maison;136;4;103.39;543
4639;2;Appartement;81;4;77.7;544
4640;2;Appartement;18;1;18.27;513
4641;2;Appartement;30;1;26.74;513
4642;2;Appartement;34;2;32.75;519
4643;2;Appartement;56;3;57.57;535
4644;2;Appartement;40;2;25.65;512
4645;2;Appartement;67;4;71.31;531
4646;1;Maison;86;4;106.98;545
4647;2;Appartement;80;3;84;529
4648;1;Maison;80;4;80.52;515
4649;2;Appartement;56;2;55.02;515
4650;2;Appartement;35;2;35.23;515
4651;2;Appartement;45;2;44.74;513
4652;2;Appartement;70;4;57.79;512
4653;2;Appartement;74;3;73.57;533
4654;2;Appartement;70;3;73.23;523
4655;1;Maison;114;4;100.69;512
4656;2;Appartement;81;4;82.18;519
4657;1;Maison;92;5;92.1;540
4658;2;Appartement;48;2;49.56;513
4659;2;Appartement;34;1;34.27;519
4660;2;Appartement;52;4;57.17;513
4661;2;Appartement;47;3;45.29;515
4662;2;Appartement;58;3;60.05;513
4663;1;Maison;89;4;90;519
4664;2;Appartement;97;3;95.67;546
4665;2;Appartement;67;3;67.6;519
4666;1;Maison;94;5;95.05;513
4667;2;Appartement;76;4;75.36;532
4668;2;Appartement;74;3;76.16;513
4669;1;Maison;90;5;91.84;544
4670;1;Maison;84;4;97.77;519
4671;2;Appartement;72;4;73.34;532
4672;1;Maison;106;4;105.83;520
4673;2;Appartement;34;1;35.42;513
4674;2;Appartement;55;3;56.55;512
4675;2;Appartement;31;1;31.23;513
4676;2;Appartement;34;2;32.89;513
4677;2;Appartement;64;4;62.64;513
4678;2;Appartement;49;2;62.62;513
4679;2;Appartement;64;3;60.97;513
4680;2;Appartement;70;3;70.24;532
4681;2;Appartement;72;3;69.14;517
4682;2;Appartement;150;4;155.83;512
4683;2;Appartement;54;2;52.4;512
4684;2;Appartement;80;3;99.88;547
4685;2;Appartement;58;3;54.57;513
4686;2;Appartement;67;4;72.98;519
4687;2;Appartement;40;1;35.07;515
4688;2;Appartement;100;3;99.95;515
4689;2;Appartement;110;5;109.46;513
4690;2;Appartement;72;4;72.12;515
4691;2;Appartement;115;4;118.89;515
4692;2;Appartement;43;2;40.43;548
4693;1;Maison;92;4;92;549
4694;2;Appartement;89;4;89;550
4695;2;Appartement;19;1;17.9;551
4696;2;Appartement;23;1;22.54;552
4697;2;Appartement;11;2;17.44;551
4698;2;Appartement;42;1;42.6;551
4699;2;Appartement;15;1;15.73;551
4700;2;Appartement;24;2;26.23;551
4701;2;Appartement;46;2;46.46;551
4702;1;Maison;100;4;134.13;553
4703;2;Appartement;52;3;48.76;551
4704;2;Appartement;101;3;115.51;554
4705;2;Appartement;87;3;87.5;550
4706;2;Appartement;76;3;79.92;554
4707;2;Appartement;87;5;85.89;551
4708;2;Appartement;26;1;25.87;551
4709;2;Appartement;52;2;51;551
4710;2;Appartement;38;2;38.4;551
4711;2;Appartement;64;3;58.42;551
4712;2;Appartement;56;3;56.8;551
4713;2;Appartement;48;2;57.21;551
4714;2;Appartement;62;3;60.07;555
4715;2;Appartement;19;1;18.32;551
4716;2;Appartement;12;1;14.22;551
4717;2;Appartement;38;2;36.5;554
4718;2;Appartement;77;3;66.99;551
4719;2;Appartement;110;4;93.09;554
4720;2;Appartement;45;2;45.25;551
4721;2;Appartement;13;1;12.47;551
4722;2;Appartement;65;3;65.47;551
4723;2;Appartement;103;4;103.94;554
4724;2;Appartement;63;2;63.08;554
4725;1;Maison;70;3;69.92;551
4726;2;Appartement;45;3;46.1;551
4727;2;Appartement;69;3;66.23;551
4728;2;Appartement;83;3;82.55;551
4729;1;Maison;70;4;22.8;556
4730;2;Appartement;51;3;51.49;554
4731;2;Appartement;48;2;47.05;554
4732;2;Appartement;65;3;66.21;554
4733;2;Appartement;62;3;61.84;554
4734;2;Appartement;38;1;37.75;557
4735;2;Appartement;72;3;72.87;551
4736;1;Maison;76;3;74.36;551
4737;2;Appartement;105;3;123.5;551
4738;2;Appartement;78;3;81.88;554
4739;2;Appartement;55;2;55.59;550
4740;2;Appartement;56;2;54.79;551
4741;2;Appartement;65;3;64.96;551
4742;2;Appartement;58;3;57.79;551
4743;2;Appartement;23;1;22.45;551
4744;2;Appartement;55;2;55.35;554
4745;2;Appartement;90;5;90.99;551
4746;2;Appartement;42;2;44.3;558
4747;2;Appartement;89;4;88.15;558
4748;2;Appartement;33;1;32.5;559
4749;2;Appartement;30;1;10.84;560
4750;1;Maison;68;4;71.99;561
4751;2;Appartement;71;4;73.3;562
4752;2;Appartement;44;2;43.66;563
4753;1;Maison;105;5;106.03;564
4754;2;Appartement;12;1;12.57;564
4755;2;Appartement;60;4;44;565
4756;2;Appartement;71;3;69.57;566
4757;2;Appartement;65;3;65.63;564
4758;2;Appartement;34;2;32.2;564
4759;2;Appartement;51;2;54.53;564
4760;2;Appartement;89;5;86;564
4761;1;Maison;80;4;98.03;564
4762;2;Appartement;61;2;66.38;564
4763;2;Appartement;76;4;89;567
4764;2;Appartement;66;3;65.2;568
4765;1;Maison;85;4;76.9;569
4766;1;Maison;112;6;114.16;569
4767;2;Appartement;69;3;64.88;570
4768;2;Appartement;31;1;30.81;564
4769;1;Maison;91;4;90.42;564
4770;2;Appartement;67;3;67.13;564
4771;2;Appartement;101;3;97.95;564
4772;2;Appartement;68;3;68.32;564
4773;1;Maison;74;3;72.55;564
4774;2;Appartement;38;2;34.51;564
4775;2;Appartement;55;1;67.87;567
4776;2;Appartement;41;2;40.98;568
4777;2;Appartement;76;3;73.65;564
4778;2;Appartement;92;4;93.69;564
4779;2;Appartement;37;2;34.8;567
4780;2;Appartement;58;3;58.41;566
4781;2;Appartement;68;2;61.82;564
4782;2;Appartement;72;3;72.69;564
4783;2;Appartement;67;3;75.37;564
4784;2;Appartement;38;1;38.54;564
4785;2;Appartement;79;3;78.47;567
4786;2;Appartement;27;1;29.92;564
4787;1;Maison;110;6;107.58;564
4788;2;Appartement;88;4;88.35;566
4789;2;Appartement;44;2;43.68;568
4790;2;Appartement;50;3;50.12;569
4791;2;Appartement;60;3;61.18;564
4792;2;Appartement;50;2;50.74;564
4793;2;Appartement;51;2;50.52;566
4794;1;Maison;100;4;101.28;570
4795;2;Appartement;86;4;83.56;568
4796;2;Appartement;42;2;41.66;564
4797;2;Appartement;61;3;60.31;564
4798;2;Appartement;89;4;88.47;564
4799;2;Appartement;38;1;38.29;564
4800;2;Appartement;51;2;51.95;571
4801;2;Appartement;40;2;37.79;564
4802;2;Appartement;94;3;94.05;564
4803;1;Maison;55;1;49.68;572
4804;2;Appartement;43;2;43.09;573
4805;2;Appartement;55;3;54.74;564
4806;2;Appartement;61;2;60.94;564
4807;2;Appartement;49;2;48.19;568
4808;2;Appartement;46;2;46.62;574
4809;2;Appartement;74;4;77.62;564
4810;2;Appartement;88;5;91.95;574
4811;2;Appartement;85;4;84.33;567
4812;2;Appartement;30;1;30.83;564
4813;2;Appartement;77;4;77.9;565
4814;2;Appartement;61;3;60.43;564
4815;2;Appartement;75;3;73.37;564
4816;2;Appartement;64;3;77.42;564
4817;1;Maison;100;4;101.15;575
4818;2;Appartement;61;3;60.75;574
4819;1;Maison;118;5;114.09;568
4820;1;Maison;65;4;65.84;564
4821;2;Appartement;120;4;118.77;564
4822;2;Appartement;98;3;112.82;564
4823;2;Appartement;46;2;38.1;567
4824;2;Appartement;38;2;37.95;567
4825;2;Appartement;17;1;13.7;564
4826;2;Appartement;59;3;61.1;576
4827;2;Appartement;63;3;64.05;577
4828;2;Appartement;44;2;43.26;573
4829;2;Appartement;40;1;37.44;564
4830;2;Appartement;44;2;46.44;564
4831;2;Appartement;30;1;30.85;564
4832;2;Appartement;15;1;14.26;565
4833;2;Appartement;46;2;45.97;574
4834;2;Appartement;48;2;48.6;567
4835;2;Appartement;37;2;32.6;564
4836;2;Appartement;72;3;74.65;574
4837;2;Appartement;83;4;90.52;564
4838;2;Appartement;28;1;19.1;564
4839;2;Appartement;46;2;45.89;564
4840;2;Appartement;86;5;84.94;578
4841;2;Appartement;119;4;118.47;564
4842;2;Appartement;72;3;73.73;564
4843;1;Maison;90;5;94.14;574
4844;2;Appartement;84;4;82.98;564
4845;2;Appartement;84;4;84.68;564
4846;2;Appartement;76;3;74.21;564
4847;2;Appartement;69;3;71.41;579
4848;2;Appartement;69;3;66.5;564
4849;2;Appartement;18;1;18.5;564
4850;2;Appartement;37;1;31.35;564
4851;2;Appartement;30;2;29.42;567
4852;2;Appartement;54;3;54.35;567
4853;2;Appartement;16;1;16.03;578
4854;2;Appartement;84;4;83.98;564
4855;2;Appartement;18;1;19.1;564
4856;2;Appartement;68;3;68.08;566
4857;2;Appartement;27;1;27.11;564
4858;2;Appartement;88;4;80.92;568
4859;2;Appartement;33;2;34.63;568
4860;2;Appartement;60;2;61.25;568
4861;2;Appartement;27;2;27.76;567
4862;2;Appartement;84;4;84.77;564
4863;2;Appartement;30;2;26.11;564
4864;2;Appartement;19;1;19.83;564
4865;2;Appartement;75;4;75.64;574
4866;2;Appartement;31;1;31.61;564
4867;2;Appartement;39;2;26.81;564
4868;2;Appartement;107;4;109.24;564
4869;2;Appartement;67;3;66.6;574
4870;2;Appartement;25;2;31.32;564
4871;2;Appartement;29;1;29.25;566
4872;2;Appartement;30;1;24.07;571
4873;2;Appartement;15;1;11.03;564
4874;2;Appartement;51;2;51.54;570
4875;2;Appartement;31;1;28.22;569
4876;2;Appartement;84;4;85.05;564
4877;2;Appartement;52;2;53;564
4878;2;Appartement;39;2;30.29;564
4879;2;Appartement;30;1;29.71;564
4880;1;Maison;85;5;85.76;574
4881;1;Maison;90;4;89.04;580
4882;2;Appartement;69;3;65.58;564
4883;2;Appartement;31;1;29.54;569
4884;2;Appartement;33;2;31.9;578
4885;2;Appartement;57;3;45.26;581
4886;2;Appartement;47;2;48.55;564
4887;2;Appartement;10;1;11.1;564
4888;2;Appartement;64;4;65.05;567
4889;2;Appartement;43;2;68.64;564
4890;2;Appartement;64;3;63.95;564
4891;2;Appartement;28;1;31.45;564
4892;2;Appartement;37;1;36.98;578
4893;2;Appartement;80;3;80.51;564
4894;2;Appartement;50;2;50.81;564
4895;2;Appartement;51;2;48.81;564
4896;2;Appartement;37;2;38.36;582
4897;2;Appartement;76;4;77.99;582
4898;2;Appartement;75;3;53.17;582
4899;1;Maison;80;4;78.18;583
4900;2;Appartement;17;2;9.81;582
4901;2;Appartement;82;3;82.71;582
4902;2;Appartement;67;4;66.78;582
4903;2;Appartement;130;6;129.67;582
4904;2;Appartement;60;3;43.57;582
4905;2;Appartement;58;3;58.87;584
4906;1;Maison;81;4;78.63;584
4907;2;Appartement;57;2;56.09;584
4908;2;Appartement;42;2;39.74;584
4909;2;Appartement;54;2;53.85;585
4910;2;Appartement;67;4;68.67;584
4911;2;Appartement;15;1;14.61;584
4912;2;Appartement;62;3;63.13;584
4913;2;Appartement;25;1;24.2;584
4914;2;Appartement;54;3;50.79;586
4915;2;Appartement;60;3;59.66;585
4916;1;Maison;129;6;133.41;587
4917;2;Appartement;31;2;31.99;588
4918;2;Appartement;62;2;61.83;584
4919;2;Appartement;52;2;51.65;589
4920;2;Appartement;80;3;66.52;584
4921;1;Maison;80;3;72.77;590
4922;2;Appartement;45;2;31.22;591
4923;2;Appartement;79;4;78.28;584
4924;2;Appartement;47;2;46.77;585
4925;1;Maison;51;3;46.76;587
4926;2;Appartement;55;2;56.33;584
4927;2;Appartement;58;3;59.43;584
4928;2;Appartement;67;4;67.62;584
4929;2;Appartement;40;2;39.55;585
4930;2;Appartement;65;3;65.77;584
4931;1;Maison;100;4;131;587
4932;1;Maison;67;3;74.15;592
4933;1;Maison;60;3;69.35;592
4934;2;Appartement;30;1;33.85;587
4935;1;Maison;100;4;114.41;587
4936;2;Appartement;138;5;133.49;593
4937;2;Appartement;37;2;36.27;587
4938;2;Appartement;45;2;44.84;584
4939;2;Appartement;31;1;29.2;584
4940;2;Appartement;56;3;57.31;584
4941;2;Appartement;64;3;64.3;585
4942;2;Appartement;67;4;67.79;584
4943;2;Appartement;29;1;29.84;594
4944;2;Appartement;68;3;66.85;594
4945;2;Appartement;17;1;17.28;594
4946;2;Appartement;16;1;16.51;594
4947;2;Appartement;81;5;84.69;595
4948;2;Appartement;47;2;46.94;595
4949;2;Appartement;31;1;30.86;595
4950;2;Appartement;32;2;31.82;596
4951;2;Appartement;42;2;40.29;595
4952;2;Appartement;62;4;61.73;595
4953;2;Appartement;56;3;53.35;595
4954;2;Appartement;52;3;48.96;597
4955;2;Appartement;70;3;68.8;598
4956;2;Appartement;90;4;74.54;597
4957;2;Appartement;51;2;68;598
4958;2;Appartement;40;2;39.23;599
4959;2;Appartement;80;4;56.57;597
4960;1;Maison;29;2;32.89;600
4961;2;Appartement;68;2;65.2;597
4962;1;Maison;109;4;109.82;599
4963;2;Appartement;18;1;17.03;598
4964;2;Appartement;40;2;37.36;597
4965;1;Maison;29;2;28.73;600
4966;2;Appartement;52;3;52.72;598
4967;2;Appartement;51;3;51.16;597
4968;2;Appartement;34;1;27.82;597
4969;2;Appartement;67;4;67.27;598
4970;2;Appartement;52;2;46.99;601
4971;2;Appartement;53;3;53.11;601
4972;2;Appartement;20;1;20.34;601
4973;2;Appartement;75;4;73.51;601
4974;2;Appartement;67;3;66.21;602
4975;2;Appartement;73;4;72.6;601
4976;2;Appartement;68;4;65.41;601
4977;2;Appartement;57;3;57.2;601
4978;2;Appartement;76;3;75.01;601
4979;2;Appartement;67;4;70.1;601
4980;2;Appartement;68;3;67.84;601
4981;2;Appartement;72;4;72.54;601
4982;2;Appartement;87;4;86.5;601
4983;2;Appartement;63;4;63.78;601
4984;1;Maison;87;4;99.11;601
4985;2;Appartement;67;3;63.35;601
4986;2;Appartement;36;1;36;601
4987;2;Appartement;55;3;55.81;601
4988;2;Appartement;67;2;59.58;601
4989;2;Appartement;18;1;18;601
4990;2;Appartement;50;2;50.11;601
4991;2;Appartement;110;5;110.05;601
4992;2;Appartement;57;2;57.05;601
4993;2;Appartement;65;4;62;601
4994;2;Appartement;42;2;42.39;601
4995;2;Appartement;51;2;50.8;601
4996;2;Appartement;40;2;42.07;601
4997;2;Appartement;64;4;66.35;601
4998;2;Appartement;62;4;61.63;601
4999;2;Appartement;67;4;67.9;601
5000;2;Appartement;52;3;51.97;601
5001;2;Appartement;55;3;57.25;601
5002;2;Appartement;59;3;60.54;601
5003;2;Appartement;49;3;50.39;601
5004;2;Appartement;82;4;79.92;601
5005;2;Appartement;52;3;51.91;601
5006;2;Appartement;22;1;24.07;601
5007;2;Appartement;67;4;66.3;601
5008;2;Appartement;67;4;67.49;601
5009;2;Appartement;70;4;74.6;601
5010;2;Appartement;52;2;53.07;601
5011;2;Appartement;29;1;31.06;601
5012;2;Appartement;64;3;64.24;601
5013;2;Appartement;63;3;61.46;601
5014;2;Appartement;33;1;27.96;601
5015;2;Appartement;47;2;46.98;601
5016;2;Appartement;94;5;95.84;601
5017;2;Appartement;43;2;51.86;601
5018;2;Appartement;33;2;31.26;601
5019;2;Appartement;50;2;49.3;601
5020;2;Appartement;61;3;59.81;601
5021;2;Appartement;52;3;69.07;601
5022;2;Appartement;77;4;78.82;601
5023;2;Appartement;33;2;28.25;601
5024;2;Appartement;62;4;62.4;601
5025;2;Appartement;28;1;26.29;601
5026;2;Appartement;43;3;49.84;601
5027;2;Appartement;66;3;67.21;601
5028;2;Appartement;54;3;54.26;601
5029;2;Appartement;27;1;26;601
5030;2;Appartement;50;2;46.58;601
5031;2;Appartement;67;4;65.6;601
5032;1;Maison;79;4;79.09;601
5033;2;Appartement;56;3;57.38;601
5034;2;Appartement;40;3;20.72;601
5035;2;Appartement;74;3;74.84;601
5036;1;Maison;80;4;79.82;601
5037;2;Appartement;49;2;55.14;601
5038;1;Maison;109;6;95;603
5039;2;Appartement;38;2;38.51;604
5040;2;Appartement;55;3;53.74;604
5041;2;Appartement;72;3;58.99;605
5042;2;Appartement;74;4;74.78;606
5043;2;Appartement;57;3;57.69;607
5044;2;Appartement;48;2;44.32;608
5045;2;Appartement;67;3;47.45;609
5046;2;Appartement;105;4;97;610
5047;2;Appartement;42;2;42.93;611
5048;1;Maison;94;4;115.82;612
5049;2;Appartement;42;2;42.58;610
5050;2;Appartement;24;1;23.01;609
5051;2;Appartement;63;3;61.3;610
5052;2;Appartement;36;2;35.58;613
5053;2;Appartement;43;2;43.7;609
5054;2;Appartement;33;1;42.16;613
5055;2;Appartement;54;3;58.05;609
5056;2;Appartement;76;4;65;611
5057;2;Appartement;26;1;27;609
5058;2;Appartement;55;3;62.33;610
5059;2;Appartement;80;3;76.52;614
5060;2;Appartement;66;4;70.31;609
5061;2;Appartement;29;1;29.95;609
5062;2;Appartement;87;5;89.8;610
5063;1;Maison;82;4;82.92;609
5064;2;Appartement;22;1;47.23;609
5065;2;Appartement;54;3;54.38;614
5066;2;Appartement;27;1;24.81;609
5067;1;Maison;108;5;134.5;609
5068;2;Appartement;31;1;31.08;609
5069;2;Appartement;66;3;17.71;615
5070;2;Appartement;136;5;133.77;616
5071;2;Appartement;45;1;41.77;616
5072;2;Appartement;74;3;73.05;617
5073;2;Appartement;100;4;105.04;617
5074;2;Appartement;53;2;58.01;618
5075;2;Appartement;43;2;44.04;618
5076;2;Appartement;90;4;92.7;618
5077;2;Appartement;62;3;64.39;619
5078;1;Maison;32;2;32.16;620
5079;2;Appartement;26;2;42.2;620
5080;2;Appartement;73;4;73.58;617
5081;2;Appartement;31;1;30.41;618
5082;2;Appartement;75;3;55.12;619
5083;2;Appartement;47;1;52.43;621
5084;2;Appartement;89;4;87.16;621
5085;2;Appartement;27;1;24.64;622
5086;2;Appartement;18;1;18.76;615
5087;2;Appartement;27;1;28.5;621
5088;1;Maison;42;2;37.59;623
5089;2;Appartement;55;3;55.44;624
5090;2;Appartement;45;2;44.61;619
5091;2;Appartement;196;6;201.85;617
5092;2;Appartement;36;2;12.5;625
5093;2;Appartement;68;3;72;618
5094;2;Appartement;34;2;32.51;626
5095;2;Appartement;45;2;45.58;616
5096;2;Appartement;28;1;27.17;616
5097;2;Appartement;20;1;54.22;625
5098;2;Appartement;29;2;37;627
5099;2;Appartement;38;2;37.78;628
5100;2;Appartement;80;3;91.09;616
5101;1;Maison;31;1;30.73;623
5102;2;Appartement;61;2;68.06;616
5103;2;Appartement;40;2;40.8;616
5104;2;Appartement;52;2;7.35;629
5105;2;Appartement;47;3;47.05;617
5106;2;Appartement;31;3;33.57;630
5107;2;Appartement;92;4;91.82;618
5108;2;Appartement;80;3;82.26;618
5109;2;Appartement;44;2;40.5;631
5110;2;Appartement;80;3;78.55;616
5111;2;Appartement;60;3;71.51;618
5112;2;Appartement;85;3;86.46;616
5113;2;Appartement;122;4;122.3;632
5114;2;Appartement;81;3;75.83;621
5115;2;Appartement;20;1;27.73;620
5116;1;Maison;35;3;37.48;615
5117;2;Appartement;70;3;83.58;616
5118;2;Appartement;41;2;40.32;633
5119;2;Appartement;45;3;46.77;626
5120;2;Appartement;46;2;45.98;629
5121;2;Appartement;56;2;54.99;634
5122;2;Appartement;55;2;54.36;616
5123;1;Maison;22;1;26.17;635
5124;2;Appartement;41;2;38.2;628
5125;2;Appartement;50;2;50.17;615
5126;2;Appartement;34;2;29.98;636
5127;2;Appartement;16;2;30.49;616
5128;2;Appartement;56;1;63.38;637
5129;1;Maison;60;3;92.95;626
5130;2;Appartement;47;2;45.15;618
5131;2;Appartement;97;3;61.93;638
5132;2;Appartement;35;2;35.45;618
5133;2;Appartement;45;2;44.02;639
5134;2;Appartement;47;2;46.92;633
5135;2;Appartement;44;2;42.58;618
5136;2;Appartement;76;4;65.11;632
5137;2;Appartement;45;3;46.24;626
5138;2;Appartement;32;2;32.35;626
5139;2;Appartement;65;3;77.19;616
5140;2;Appartement;71;3;68.19;620
5141;1;Maison;114;6;98.77;615
5142;2;Appartement;76;3;85.56;618
5143;2;Appartement;62;2;59;616
5144;2;Appartement;40;2;40.79;616
5145;2;Appartement;35;1;45;616
5146;2;Appartement;94;4;102.18;618
5147;2;Appartement;89;3;80.82;640
5148;2;Appartement;70;3;70.61;629
5149;2;Appartement;14;1;13.82;626
5150;2;Appartement;55;3;57.61;619
5151;2;Appartement;75;5;79.19;616
5152;1;Maison;98;3;125.84;615
5153;2;Appartement;35;2;43.22;632
5154;2;Appartement;56;2;53.75;616
5155;2;Appartement;45;2;45.95;623
5156;2;Appartement;30;1;37.18;616
5157;2;Appartement;24;1;25.1;617
5158;2;Appartement;70;3;71.33;641
5159;2;Appartement;43;1;43.05;641
5160;2;Appartement;29;1;46.47;615
5161;2;Appartement;66;3;65.15;629
5162;2;Appartement;21;1;24.42;631
5163;2;Appartement;20;1;20.58;631
5164;2;Appartement;72;3;68.1;631
5165;2;Appartement;40;2;34.67;636
5166;2;Appartement;80;3;80.74;642
5167;2;Appartement;52;2;52.36;618
5168;2;Appartement;30;1;23.33;643
5169;1;Maison;65;3;65.31;631
5170;2;Appartement;66;3;71.02;618
5171;2;Appartement;58;3;57.32;618
5172;2;Appartement;36;2;34.62;618
5173;1;Maison;96;4;91.51;625
5174;2;Appartement;25;2;54.1;616
5175;2;Appartement;65;3;65.33;618
5176;2;Appartement;113;4;109.76;618
5177;2;Appartement;54;3;52.99;618
5178;2;Appartement;52;3;52.73;615
5179;2;Appartement;60;3;67.4;616
5180;2;Appartement;97;4;97.9;615
5181;2;Appartement;75;4;78.84;616
5182;2;Appartement;51;2;51.61;618
5183;2;Appartement;83;3;67.55;616
5184;2;Appartement;46;2;44.29;618
5185;2;Appartement;86;4;82.24;616
5186;2;Appartement;70;3;70.38;617
5187;2;Appartement;63;3;62.56;618
5188;2;Appartement;80;4;73.82;642
5189;2;Appartement;50;3;50.21;644
5190;2;Appartement;26;2;32.25;616
5191;2;Appartement;44;2;43.87;618
5192;2;Appartement;30;2;25.89;617
5193;2;Appartement;40;2;40.71;615
5194;1;Maison;32;2;35;620
5195;1;Maison;108;5;45.71;615
5196;2;Appartement;40;3;39.91;645
5197;2;Appartement;50;1;53.76;616
5198;2;Appartement;97;4;82.04;641
5199;2;Appartement;86;4;86.24;615
5200;1;Maison;87;4;82.88;617
5201;2;Appartement;130;5;121.37;617
5202;2;Appartement;94;3;87.25;646
5203;2;Appartement;69;3;66.31;616
5204;1;Maison;98;4;101.85;647
5205;2;Appartement;75;3;74.69;618
5206;2;Appartement;80;4;84.53;616
5207;2;Appartement;35;2;37.69;620
5208;1;Maison;34;1;42.9;635
5209;2;Appartement;58;3;61.2;618
5210;2;Appartement;31;1;31.85;618
5211;2;Appartement;60;3;67.33;616
5212;2;Appartement;45;3;43.66;626
5213;2;Appartement;65;3;64.35;620
5214;2;Appartement;22;2;75.41;648
5215;1;Maison;160;4;123.76;623
5216;2;Appartement;32;2;31.88;631
